rtp://@239.1.1.3:7992,Lejel
rtp://@239.1.1.7:8016,Dunia Anak
rtp://@239.1.1.9:8028,Comedy Central
rtp://@239.1.1.15:8064,ANTV
rtp://@239.1.1.17:8076,INDOSIAR
rtp://@239.1.1.19:8088,METRO TV
rtp://@239.1.1.21:8100,SCTV
rtp://@239.1.1.27:8136,TRANS TV
rtp://@239.1.1.29:8148,TRANS 7
rtp://@239.1.1.31:8160,TV ONE
rtp://@239.1.1.37:8196,TVRI
rtp://@239.1.1.39:8208,TV EDUKASI
rtp://@239.1.1.61:8340,tvN movies
rtp://@239.1.1.69:8388,RTV
rtp://@239.1.1.107:8616,Jak TV
rtp://@239.1.1.111:8640,Ruang Trampil
rtp://@239.1.1.113:8652,Insert
rtp://@239.1.1.115:8664,CCTV 4
rtp://@239.1.1.117:8676,Aniplus
rtp://@239.1.1.119:8688,NET
rtp://@239.1.1.143:8832,Citra Dangdut
rtp://@239.1.1.149:8868,Dunia Lain
rtp://@239.1.1.179:9048,DAAI TV
rtp://@239.1.1.183:9072,Berita Satu
rtp://@239.1.1.185:9084,Al Quran
rtp://@239.1.1.191:9120,France 24
rtp://@239.1.1.193:9132,Euronews
rtp://@239.1.1.195:9144,Aljazeera
rtp://@239.1.1.197:9156,Kompas TV
rtp://@239.1.1.209:9228,Foxlife
rtp://@239.1.1.219:9288,DMI Channel
rtp://@239.1.1.4:7998,Lejel SD
rtp://@239.1.1.6:8010,JTV
rtp://@239.1.1.8:8022,Dunia Anak SD
rtp://@239.1.1.10:8034,Australian Plus HD
rtp://@239.1.1.16:8070,ANTV SD
rtp://@239.1.1.18:8082,INDOSIAR SD
rtp://@239.1.1.20:8094,METRO TV SD
rtp://@239.1.1.22:8106,SCTV SD
rtp://@239.1.1.28:8142,TRANS TV SD
rtp://@239.1.1.30:8154,TRANS 7 SD
rtp://@239.1.1.32:8166,TV ONE SD
rtp://@239.1.1.34:8178,ABC TV SD
rtp://@239.1.1.38:8202,Tvri SD
rtp://@239.1.1.40:8214,Cartoon SD
rtp://@239.1.1.42:8226,Nickolodeon SD
rtp://@239.1.1.46:8250,Disney SD
rtp://@239.1.1.48:8262,Disney Junior SD
rtp://@239.1.1.54:8298,Fox Sport 3 SD
rtp://@239.1.1.58:8322,HGTV
rtp://@239.1.1.60:8334,FOX Crime SD
rtp://@239.1.1.70:8394,RTV SD
rtp://@239.1.1.72:8406,Bali TV
rtp://@239.1.1.74:8418,Boomrang Kids SD
rtp://@239.1.1.76:8430,Chinese TV SD
rtp://@239.1.1.78:8442,Hope Channel
rtp://@239.1.1.80:8454,Fashion TV SD
rtp://@239.1.1.82:8466,KIX SD
rtp://@239.1.1.84:8478,HBO Series SD
rtp://@239.1.1.88:8502,RED HBO SD
rtp://@239.1.1.90:8514,HBO Family SD
rtp://@239.1.1.92:8526,HBO Hits SD
rtp://@239.1.1.94:8538,HBO Signature SD
rtp://@239.1.1.95:8544,HBO SD
rtp://@239.1.1.98:8562,Celestial Movies SD
rtp://@239.1.1.100:8574,Da Vinci Learning SD
rtp://@239.1.1.102:8586,Fox Sport 2 SD
rtp://@239.1.1.104:8598,Fox Sport SD
rtp://@239.1.1.106:8610,CNN SD
rtp://@239.1.1.108:8622,M Shop SD
rtp://@239.1.1.116:8670,CCTV 4 SD
rtp://@239.1.1.118:8682,Aniplus SD
rtp://@239.1.1.120:8694,NET SD
rtp://@239.1.1.122:8706,CGTN TV SD
rtp://@239.1.1.124:8718,Cartoon Network SD
rtp://@239.1.1.126:8730,Ruang Trampil
rtp://@239.1.1.138:8802,AXN SD
rtp://@239.1.1.148:8862,Arirang SD
rtp://@239.1.1.150:8874,TV 9
rtp://@239.1.1.152:8886,TRANS 7
rtp://@239.1.1.154:8898,Zhejiang TV HD
rtp://@239.1.1.156:8910,Shenzen International 
rtp://@239.1.1.158:8922,NET HD
rtp://@239.1.1.160:8934,Nick Jr SD
rtp://@239.1.1.162:8946,My TV
rtp://@239.1.1.168:8982,KBS World SD
rtp://@239.1.1.170:8994,TV Mu
rtp://@239.1.1.178:9042,Fight TV SD
rtp://@239.1.1.182:9066,K Plus SD
rtp://@239.1.1.186:9090,Al Quran SD
rtp://@239.1.1.188:9102,DW TV SD
rtp://@239.1.1.192:9126,France 24 SD
rtp://@239.1.1.194:9138,TRANS TV HD
rtp://@239.1.1.200:9174,Boomrang SD
rtp://@239.1.1.204:9198,HBO Movies SD
rtp://@239.1.1.216:9270,Usee Prime
rtp://@239.1.1.222:9306,TRANS 7 HD
rtp://@239.1.1.224:9320,Rodja TV
rtp://@239.1.1.226:9332,Bioskop Indonesia
rtp://@239.1.1.236:9390,NHK World
rtp://@239.1.1.252:9486,Usee Prime HD
rtp://@239.1.2.3:7992,Lejel
rtp://@239.1.2.21:8100,SCTV HD
rtp://@239.1.2.23:8112,CNA HD
rtp://@239.1.2.31:8160,TV ONE HD
rtp://@239.1.2.33:8172,Australian Plus HD
rtp://@239.1.2.4:7998,CGTV HD
rtp://@239.1.2.8:8022,Aljazeera HD
rtp://@239.1.2.14:8058,Langit Musik
rtp://@239.1.2.20:8094,IMC
rtp://@239.1.2.22:8106,France 24 HD
rtp://@239.1.2.24:8118,Usee Photo HD
rtp://@239.1.2.26:8130,ONE HD
rtp://@239.1.2.34:8178,HGTV HD
rtp://@239.1.2.50:8274,Usee Today
rtp://@239.1.2.52:8286,MUI TV
rtp://@239.1.2.68:8382,SEA Today
rtp://@239.1.2.72:8406,TVN Movies HD
